"","Rho","N","P","P0","Rsq","Sure Screening Probability (Air-HOLP)","Sure Screening Probability (Ridge-HOLP)","Sure Screening Probability (SIS)","r"
"161",0,125,5000,9,0.25,0,0,0,1758.44497749647
"162",0.3,125,5000,9,0.25,0,0,0,1725.87939159622
"163",0.6,125,5000,9,0.25,0,0,0,1628.41456062469
"164",0.9,125,5000,9,0.25,0,0,0,1502.95825282518
"165",0,250,5000,9,0.25,0.002,0.002,0.004,2123.20565395838
"166",0.3,250,5000,9,0.25,0.002,0,0,2080.42484283877
"167",0.6,250,5000,9,0.25,0.002,0,0,2012.99624491923
"168",0.9,250,5000,9,0.25,0.002,0.002,0.002,1846.397347452
"169",0,500,5000,9,0.25,0.198,0.18,0.21,2411.03551128747
"170",0.3,500,5000,9,0.25,0.118,0.106,0.078,2400.57701463966
"171",0.6,500,5000,9,0.25,0.044,0.04,0.038,2334.45991218922
"172",0.9,500,5000,9,0.25,0.022,0.014,0.026,2202.75653088387
"173",0,1000,5000,9,0.25,0.642,0.586,0.66,2705.40936471638
"174",0.3,1000,5000,9,0.25,0.554,0.48,0.33,2672.24377455862
"175",0.6,1000,5000,9,0.25,0.334,0.314,0.19,2582.75320288065
"176",0.9,1000,5000,9,0.25,0.1,0.092,0.102,2446.36174027982
"177",0,125,15000,9,0.25,0,0,0,4513.39700266072
"178",0.3,125,15000,9,0.25,0,0,0,4356.44928511585
"179",0.6,125,15000,9,0.25,0,0,0,4166.80803161048
"180",0.9,125,15000,9,0.25,0,0,0,3851.99837497988
"181",0,250,15000,9,0.25,0,0,0,5547.81470822671
"182",0.3,250,15000,9,0.25,0,0,0,5460.7776366646
"183",0.6,250,15000,9,0.25,0,0,0,5212.44724787335
"184",0.9,250,15000,9,0.25,0,0,0,4824.83676612271
"185",0,500,15000,9,0.25,0.088,0.076,0.088,6504.35753567534
"186",0.3,500,15000,9,0.25,0.076,0.07,0.034,6351.62979374977
"187",0.6,500,15000,9,0.25,0.022,0.02,0.02,6169.73575666771
"188",0.9,500,15000,9,0.25,0.016,0.016,0.012,5771.99601477991
"189",0,1000,15000,9,0.25,0.562,0.544,0.568,7279.3890085564
"190",0.3,1000,15000,9,0.25,0.39,0.378,0.21,7335.07653593568
"191",0.6,1000,15000,9,0.25,0.186,0.178,0.116,7095.12430773287
"192",0.9,1000,15000,9,0.25,0.082,0.076,0.084,6690.29574423302
"193",0,125,250,12,0.25,0.002,0,0,113.562407524428
"194",0.3,125,250,12,0.25,0,0,0,111.979237514403
"195",0.6,125,250,12,0.25,0,0,0,106.090563841297
"196",0.9,125,250,12,0.25,0,0,0,97.4076589877349
"197",0,250,250,12,0.25,0.062,0.008,0.052,104.575120572053
"198",0.3,250,250,12,0.25,0.042,0,0.042,102.456786486388
"199",0.6,250,250,12,0.25,0.02,0,0.006,95.827409741503
"200",0.9,250,250,12,0.25,0.004,0,0.004,88.4577478105295
"201",0,500,250,12,0.25,0.55,0.466,0.58,73.2948625296349
"202",0.3,500,250,12,0.25,0.422,0.328,0.294,74.7563947749454
"203",0.6,500,250,12,0.25,0.356,0.276,0.266,66.3356417810792
"204",0.9,500,250,12,0.25,0.2,0.172,0.236,37.8548363820099
"205",0,1000,250,12,0.25,0.902,0.904,0.898,20.8842223409385
"206",0.3,1000,250,12,0.25,0.85,0.844,0.756,24.6740728674373
"207",0.6,1000,250,12,0.25,0.854,0.852,0.752,19.7875203937692
"208",0.9,1000,250,12,0.25,0.656,0.66,0.76,6.67265403371368
"209",0,125,1250,12,0.25,0,0,0,536.829769415389
"210",0.3,125,1250,12,0.25,0,0,0,528.33653006468
"211",0.6,125,1250,12,0.25,0,0,0,498.498177290679
"212",0.9,125,1250,12,0.25,0,0,0,458.669123184791
"213",0,250,1250,12,0.25,0.004,0.004,0.004,617.197284358158
"214",0.3,250,1250,12,0.25,0,0,0,605.448726072629
