"","Rho","N","P","P0","Rsq","Sure.Screening.Probability..Air.HOLP.","Sure.Screening.Probability..Ridge.HOLP.","Sure.Screening.Probability..SIS.","r"
"100",0.9,125,5000,6,0.25,0,0,0,189.2812248255
"101",0,250,5000,6,0.25,0.046,0.042,0.052,2126.4078832225
"102",0.3,250,5000,6,0.25,0.024,0.018,0.006,1579.18913279387
"103",0.6,250,5000,6,0.25,0.014,0.012,0.002,918.892596081666
"104",0.9,250,5000,6,0.25,0.002,0.002,0,237.073066187316
"105",0,500,5000,6,0.25,0.502,0.464,0.532,2507.68193717866
"106",0.3,500,5000,6,0.25,0.318,0.288,0.042,1891.11518020129
"107",0.6,500,5000,6,0.25,0.22,0.2,0.014,1112.62808659618
"108",0.9,500,5000,6,0.25,0.118,0.106,0.006,288.683012616165
"109",0,1000,5000,6,0.25,0.914,0.884,0.914,2854.9655317079
"110",0.3,1000,5000,6,0.25,0.77,0.706,0.128,2147.30732141133
"111",0.6,1000,5000,6,0.25,0.546,0.468,0.028,1296.99491907911
"112",0.9,1000,5000,6,0.25,0.242,0.212,0.004,343.813219353855
"113",0,125,15000,6,0.25,0,0,0,4536.0716292413
"114",0.3,125,15000,6,0.25,0,0,0,3326.42700456428
"115",0.6,125,15000,6,0.25,0,0,0,1921.55454909513
"116",0.9,125,15000,6,0.25,0,0,0,478.978996866617
"117",0,250,15000,6,0.25,0.01,0.01,0.008,5573.46642571659
"118",0.3,250,15000,6,0.25,0.006,0.006,0,4056.94885940467
"119",0.6,250,15000,6,0.25,0.002,0.002,0,2376.49945837569
"120",0.9,250,15000,6,0.25,0,0,0,601.908715936376
"121",0,500,15000,6,0.25,0.35,0.342,0.362,6640.4319420927
"122",0.3,500,15000,6,0.25,0.208,0.206,0.04,4938.04048485137
"123",0.6,500,15000,6,0.25,0.114,0.114,0.004,2915.27854943695
"124",0.9,500,15000,6,0.25,0.068,0.06,0.002,750.101477425075
"125",0,1000,15000,6,0.25,0.826,0.81,0.834,7785.54113930808
"126",0.3,1000,15000,6,0.25,0.622,0.598,0.092,5854.84158546645
"127",0.6,1000,15000,6,0.25,0.434,0.402,0.026,3468.91006982808
"128",0.9,1000,15000,6,0.25,0.188,0.184,0.004,910.900182169847
"129",0,125,250,9,0.25,0,0,0,112.637981366975
"130",0.3,125,250,9,0.25,0,0,0,85.2572794133072
"131",0.6,125,250,9,0.25,0,0,0,49.4712645032858
"132",0.9,125,250,9,0.25,0,0,0,12.571584067153
"133",0,250,250,9,0.25,0.138,0.008,0.196,106.431052179151
"134",0.3,250,250,9,0.25,0.06,0.008,0.024,80.5927774065756
"135",0.6,250,250,9,0.25,0.034,0.006,0.002,47.6550694458567
"136",0.9,250,250,9,0.25,0.014,0.014,0.002,12.3453916206481
"137",0,500,250,9,0.25,0.712,0.568,0.764,77.9233481550669
"138",0.3,500,250,9,0.25,0.526,0.408,0.066,59.0109041811175
"139",0.6,500,250,9,0.25,0.316,0.246,0.03,35.7966749854323
"140",0.9,500,250,9,0.25,0.186,0.194,0.002,9.70882207922092
"141",0,1000,250,9,0.25,0.986,0.986,0.986,21.9893127072741
"142",0.3,1000,250,9,0.25,0.92,0.92,0.182,18.4490493315303
"143",0.6,1000,250,9,0.25,0.774,0.772,0.052,11.4384260687357
"144",0.9,1000,250,9,0.25,0.394,0.408,0.018,3.3487338609292
"145",0,125,1250,9,0.25,0,0,0,535.772902857463
"146",0.3,125,1250,9,0.25,0,0,0,396.793080252815
"147",0.6,125,1250,9,0.25,0,0,0,229.51655728745
"148",0.9,125,1250,9,0.25,0,0,0,57.9646111886621
"149",0,250,1250,9,0.25,0.004,0.004,0.006,621.557083756285
"150",0.3,250,1250,9,0.25,0,0,0,463.779327300648
"151",0.6,250,1250,9,0.25,0,0,0,274.87836151556
"152",0.9,250,1250,9,0.25,0,0,0,69.6097073177754
"153",0,500,1250,9,0.25,0.3,0.116,0.334,680.775222147404
"154",0.3,500,1250,9,0.25,0.142,0.074,0.02,517.227715413086
"155",0.6,500,1250,9,0.25,0.088,0.042,0,310.403074123263
"156",0.9,500,1250,9,0.25,0.036,0.022,0.002,82.0861630300279
"157",0,1000,1250,9,0.25,0.8,0.196,0.83,683.448452071587
"158",0.3,1000,1250,9,0.25,0.594,0.094,0.082,525.598655466308
"159",0.6,1000,1250,9,0.25,0.414,0.076,0.014,320.110163934821
"160",0.9,1000,1250,9,0.25,0.17,0.104,0.002,86.6472440432695
"161",0,125,5000,9,0.25,0,0,0,1786.8824329011
"162",0.3,125,5000,9,0.25,0,0,0,1310.47602854595
"163",0.6,125,5000,9,0.25,0,0,0,756.171020433972
"164",0.9,125,5000,9,0.25,0,0,0,188.767372809551
"165",0,250,5000,9,0.25,0,0,0,2178.75848386244
"166",0.3,250,5000,9,0.25,0,0,0,1616.6474473675
"167",0.6,250,5000,9,0.25,0,0,0,930.141398807619
"168",0.9,250,5000,9,0.25,0,0,0,238.483915156747
"169",0,500,5000,9,0.25,0.078,0.074,0.09,2580.67675750603
"170",0.3,500,5000,9,0.25,0.052,0.034,0.002,1934.06206177016
"171",0.6,500,5000,9,0.25,0.028,0.018,0.002,1134.72686993445
"172",0.9,500,5000,9,0.25,0.006,0.004,0,293.392200543656
"173",0,1000,5000,9,0.25,0.59,0.496,0.606,2906.73770178332
"174",0.3,1000,5000,9,0.25,0.392,0.306,0.04,2192.5054890606
"175",0.6,1000,5000,9,0.25,0.234,0.17,0.014,1317.6531897989
"176",0.9,1000,5000,9,0.25,0.098,0.088,0,349.460747052075
"177",0,125,15000,9,0.25,0,0,0,4536.8679002248
"178",0.3,125,15000,9,0.25,0,0,0,3352.1017435708
"179",0.6,125,15000,9,0.25,0,0,0,1902.51943314595
"180",0.9,125,15000,9,0.25,0,0,0,477.132184241143
"181",0,250,15000,9,0.25,0,0,0,5672.18147159199
"182",0.3,250,15000,9,0.25,0,0,0,4172.49171218083
"183",0.6,250,15000,9,0.25,0,0,0,2407.0750976815
"184",0.9,250,15000,9,0.25,0,0,0,608.527365794449
"185",0,500,15000,9,0.25,0.024,0.022,0.028,6803.78361896837
"186",0.3,500,15000,9,0.25,0.01,0.01,0,5039.54630177928
"187",0.6,500,15000,9,0.25,0.006,0.004,0,2924.02701328441
"188",0.9,500,15000,9,0.25,0,0.002,0,756.808726342859
"189",0,1000,15000,9,0.25,0.406,0.372,0.426,7873.55675520739
"190",0.3,1000,15000,9,0.25,0.222,0.212,0.02,5885.50601650218
"191",0.6,1000,15000,9,0.25,0.132,0.122,0.01,3529.33303617637
"192",0.9,1000,15000,9,0.25,0.082,0.068,0,915.5400337901
"193",0,125,250,12,0.25,0,0,0,116.315318063611
"194",0.3,125,250,12,0.25,0,0,0,85.6103947232455
"195",0.6,125,250,12,0.25,0,0,0,49.3082756087841
"196",0.9,125,250,12,0.25,0,0,0,12.5217671954603
"197",0,250,250,12,0.25,0.008,0,0.01,109.540378438711
"198",0.3,250,250,12,0.25,0.006,0.002,0.002,82.3669150498463
"199",0.6,250,250,12,0.25,0.002,0,0.002,48.886479570528
"200",0.9,250,250,12,0.25,0,0,0,12.4916508196923
"201",0,500,250,12,0.25,0.42,0.288,0.498,79.7464713633511
"202",0.3,500,250,12,0.25,0.244,0.142,0.05,60.9993382074572
"203",0.6,500,250,12,0.25,0.122,0.082,0.012,36.7266501542917
"204",0.9,500,250,12,0.25,0.066,0.068,0,9.78882616134294
"205",0,1000,250,12,0.25,0.918,0.914,0.938,22.4896150116326
"206",0.3,1000,250,12,0.25,0.776,0.772,0.106,18.887685254212
"207",0.6,1000,250,12,0.25,0.598,0.592,0.024,11.8591051064908
"208",0.9,1000,250,12,0.25,0.28,0.286,0.006,3.38014625591278
"209",0,125,1250,12,0.25,0,0,0,541.917399269736
"210",0.3,125,1250,12,0.25,0,0,0,396.804696672331
"211",0.6,125,1250,12,0.25,0,0,0,230.109599768015
"212",0.9,125,1250,12,0.25,0,0,0,57.918306936575
"213",0,250,1250,12,0.25,0,0,0,634.09899967451
"214",0.3,250,1250,12,0.25,0,0,0,472.16515802437
"215",0.6,250,1250,12,0.25,0,0,0,276.422956235882
"216",0.9,250,1250,12,0.25,0,0,0,69.2955841987824
"217",0,500,1250,12,0.25,0.054,0.01,0.074,698.56132891637
"218",0.3,500,1250,12,0.25,0.024,0.01,0.008,524.895510440154
"219",0.6,500,1250,12,0.25,0.012,0.002,0,312.681776866053
"220",0.9,500,1250,12,0.25,0.002,0,0,82.4618579868245
"221",0,1000,1250,12,0.25,0.59,0.02,0.638,692.832764159842
"222",0.3,1000,1250,12,0.25,0.336,0.01,0.046,532.214851484
"223",0.6,1000,1250,12,0.25,0.212,0.02,0.022,325.028957248098
"224",0.9,1000,1250,12,0.25,0.092,0.028,0.002,87.3810186450522
"225",0,125,5000,12,0.25,0,0,0,1784.56834402542
"226",0.3,125,5000,12,0.25,0,0,0,1319.75143517546
